text,label
"d)  Resource use • ensuring that obtaining resources for Maintenance (water, quarry material) is done in a legal and sustainable manner and that storage of goods, including fuels and paints, is undertaken in a suitable manner.  e)  Waste management • including Contractor•s location and method for storage and/or disposal of waste collected under the Contract (for example, litter, tyres, dead animals) and waste or unsuitable material produced through activities of the Contract (including stockpile management).  f)  Water quality • minimising effects on water quality, including erosion and sediment control methods and procedures.  g)  Any specific environmental measures nominated by the Principal.  h)  Details of the Contractor•s environmental preparedness and response procedures, including:  i.  procedures for minor incidents such as a burst hydraulic hose  ii.  procedures for significant incidents, including notification to the Principal, the state Department of Environment and Heritage and/or other relevant state or federal departments, regarding incidents including, but not limited to, those causing •material• or •serious environmental harm• (Environmental Protection Act 1994 (Qld)) as a result of Works carried out.  10.5.5 Requirements  The Contractor should be aware of requirements for environment and heritage management, but the Principal may impose additional Contract-specific requirements within the Contract.  10.5.6 Environmental representative  All crews and projects shall have a nominated environmental representative. This representative shall have undergone environmental training, including information on general environmental duty, under the Environmental Protection Act 1994 (Qld), within the last two years.  10.5.7 Burning  Burning of material is prohibited within the Road reserve without the written approval of the Principal.  10.5.8 Weed management  The Contractor must take all precautions to ensure that activities undertaken under the Contract do not cause the spread of weeds or new weed infestations.  The Contractor shall rectify any weed infestations (including at stockpile Sites) caused by its activities at the Contractor•s cost.  Where declared weed management is being completed under the Contract, the Contractor•s representative shall be competent in the identification of declared weeds within the Network.  10.5.9 Erosion and sediment control  Where the area of disturbance of natural ground to be open at any one time is greater than 2500 m², the Contractor shall prepare an erosion and sediment control plan. The plan shall include location of all proposed erosion and sediment control devices. ",Terms of Contract
"10.5.10 Stockpile Sites  The use of old stockpile Sites is preferred over the creation of new Sites. Stockpile Sites should be delineated and not expanded without the written approval of the Principal. Stockpiles of any material type shall be located a minimum distance of 100 m away from any watercourse and a minimum 10 m away from remnant vegetation.  The Sites should be located on relatively flat, well drained ground. Appropriate sediment controls (for example, bunding or sediment control fencing) must be installed. Temporary stockpile Sites are to be remediated at the completion of construction Works.  10.5.11 Cultural heritage  Where the proposed Works will affect previously undisturbed ground, the Contractor shall ensure that an assessment as required by the Aboriginal Cultural Heritage Act 2003 (Qld) has been undertaken.  If, during an Activity, items of cultural heritage significance are discovered, construction shall cease immediately in the vicinity of the find. Any items found shall be left in an as-found condition and a temporary barrier shall be erected to prevent access to the find.  The Contractor shall immediately notify the Principal who will inform the department•s cultural heritage officer.  10.6 Audits  The Principal may carry out audits of the Contractor's quality system at any time. Such an audit may be one or a combination of:  a)  compliance with the Principal's quality system requirements  b)  compliance with the Contractor's quality procedures  c)  independent testing on completed Activities.  The Principal may carry out an audit of the EMP (Maintenance) and its implementation at any time.  The Contractor and/or its environmental representative shall be present during the audit and shall supply the Principal with all documentation, access and assistance as required.  The Contractor shall undertake at least one internal audit as part of the EMP (Maintenance) during the term of the Contract so relevant operational changes are made to reduce the risk of environmental harm.  10.6.1 Keeping records  The Contractor must keep all records for a period of at least six years, notwithstanding the requirements of any relevant legislation (including the Local Government Finance Standard 2005 (Qld)). ",Terms of Contract
"Part J: Default and termination  11 Default  11.1 General  If a party breaches or repudiates the Contract, nothing in this Clause shall prejudice the right of the other party to recover damages or exercise any other right.  11.2 Default by the Contractor  If the Contractor commits a substantial breach of the Contract and the Principal considers that damages may not be an adequate remedy, the Principal may give the Contractor a written notice to show cause.  Substantial breaches include:  a)  failing to comply in any respect with Clause 2.7  b)  failing to use the materials or standards of workmanship required by the Contract, in breach of Clause 3.7  c)  failing to provide satisfactory performance, in breach of Clause 4.3  d)  failing to provide evidence of insurance, in breach of Clause 8  e)  suspension of Work, in breach of Clause 9.9  f)  any other substantial breach nominated in the Contract.  11.3 Requirements of a notice by the Principal to show cause  A notice under Clause 11.2 shall:  a)  state that it is a notice under this Clause  b)  specify the alleged substantial breach  c)  require the Contractor to show cause in writing why the Principal should not exercise a right referred in Clause 11.4  d)  specify the time and date by which the Contractor must show cause (which time shall be no fewer than seven Days after the notice is given to the Contractor)  e)  specify the place at which cause must be shown.  11.4 Rights of the Principal  If, by the time specified in a notice under Clause 11.3, the Contractor fails to show reasonable cause why the Principal should not exercise a right referred in Clause 11.4, the Principal may by notice in writing to the Contractor:  a)  take out of the hands of the Contractor the whole or part of the Work remaining to be completed, or  b)  terminate the Contract.  Upon giving a notice under Clause 11.2, the Principal may suspend payments to the Contractor until the earlier of:  i.  the date upon which the Contractor shows reasonable cause ",Terms of Contract
"ii.  the date upon which the Principal takes action under Clause 11.4(a) or Clause 11.4(b)  iii.  the date which is seven Days after the last day for showing cause in the notice under Clause 11.3.  If the Principal exercises the right under Clause 11.4(a), the Contractor shall not be entitled to any further payment for the Work taken out of the hands of the Contractor unless a payment becomes due to the Contractor under Clause 11.5.  11.5 Procedure and adjustment on completion when the Principal takes over Work  If the Principal takes Work out of the hands of the Contractor under Clause 11.4(a), the Principal shall complete that Work.  When Work taken out of the hands of the Contractor under Clause 11.4(a) is completed, the Principal shall ascertain the cost incurred by the Principal in completing the Work and shall issue a certificate to the Contractor certifying the amount of that cost.  If the cost incurred by the Principal is greater than the amount which would have been paid to the Contractor if the Work had been completed by the Contractor, the difference shall be a debt due and owing from the Contractor to the Principal.  If the cost incurred by the Principal is less than the amount that would have been paid to the Contractor if the Work had been completed by the Contractor, the difference shall be a debt due and owing to the Contractor from the Principal. The Principal shall keep records of the cost.  If the Contractor is indebted to the Principal, the Principal may retain constructional plant or other things taken under Clause 11.5 until the debt is satisfied.  If, after reasonable notice, the Contractor fails to pay the debt, the Principal may sell the constructional plant or other things and apply the proceeds to the satisfaction of the debt and the costs of sale. Any excess shall be paid to the Contractor.  11.6 Default of the Principal  If the Principal commits a substantial breach of the Contract and the Contractor considers that damages may not be an adequate remedy, the Contractor may give the Principal a written notice to show cause.  Substantial breaches include, but are not limited to:  a)  failing to make a payment in breach of Clause 5.4, or  b)  failing to give the Contractor sufficient access to a Site in breach of Clause 9, but only if the failure continues for longer than 28 Days.  11.7 Requirements of a notice by the Contractor to show cause  A notice under Clause shall:  a)  state that it is a notice under Clause 11  b)  specify the alleged substantial breach  c)  require the Principal to show cause in writing why the Contractor should not exercise a right referred in Clause 11.8 ",Terms of Contract
"d)  specify the time and date by which the Principal must show cause (which shall not be fewer than seven Days after the notice is given to the Principal)  e)  specify the place at which cause must be shown.  11.8 Rights of the Contractor  If, by the time specified in a notice under Clause 11.3, the Principal fails to show reasonable cause why the Contractor should not exercise a right referred in Clause 11.8, the Contractor may, by notice in writing to the Principal, suspend the whole or any part of the Work under the Contract.  The Contractor shall lift the suspension if the Principal remedies the breach, but if, within 28 Days after the date of suspension under Clause 11.8, the Principal fails to remedy the breach or, if the breach is not capable of remedy, fails to make other arrangements to the reasonable satisfaction of the Contractor, the Contractor may, by notice in writing to the Principal, terminate the Contract.  The Contractor shall be entitled to recover from the Principal any damages incurred by the Contractor by reason of the suspension.  11.9 Rights of the parties on termination  If the Contract is terminated under Clause 11.4 or Clause 11.8, the rights and liabilities of the parties shall be the same as they would have been at common law had the defaulting party repudiated the Contract and the other party elected to treat the Contract as at an end and recover damages.  11.10 Termination without cause  Either party may terminate the Contract without cause by giving the other party notice in accordance with Clause 2.5 and nominating the period of notice.  a)  Notice by the Contractor shall be for a minimum period of two years.  b)  Notice by the Principal shall be for a minimum period of one year.  c)  Where the Contractor is an LG, the Contractor is dissolved under the provisions of the Local Government Act 2009.  In each case, where the Guaranteed Renewal Period is less than the nominated minimum period, then the minimum notice requirement will be the Guaranteed Renewal Period. ",Terms of Contract
"Part K: General provisions  12 Miscellaneous  Contractor shall comply with all state and federal government policies where applicable.  12.1 Confidential information  12.1.1 Contractor•s responsibility  The Contractor shall:  a)  treat as confidential and not disclose, copy, use or permit the use of, at any time, or in any way, the Confidential Information, other than for the purpose of performing this Contract  b)  ensure and protect the confidentiality of the Confidential Information  c)  limit the disclosure of the Confidential Information to those Persons to whom such disclosure is strictly necessary for the performance of this Contract and shall ensure that those Persons are bound by obligations of confidentiality for the Confidential Information equal to those contained in this Clause and shall use its best endeavours to ensure that those Persons abide by such obligations of confidentiality  d)  accept full liability for, and indemnify the Principal against, any loss, cost or damage which it may suffer or incur as a result of any wrongful use, copying or disclosure of the Confidential Information.  12.1.2 Termination  The obligations of the Contractor under Clause 12.1 survive the termination of the Contract by either party upon any grounds whatsoever.  12.2 Information Privacy Act  For the purposes of this Clause 12.2, the words 'bound contracted service provider', 'compliance notice', 'document', 'information commissioner', 'personal information', 'privacy complaint' and 'privacy principles' have the meanings given in the Information Privacy Act 2009 (Qld).  The Contractor acknowledges that the Contractor is a bound contracted service provider and the information commissioner's functions include conducting reviews into personal information handling practices of bound contracted service providers and conducting compliance audits to assess bound contracted service providers' compliance with the privacy principles.  The Contractor shall promptly advise the Principal of any:  a)  enforcement of the Contractor's obligations under the Information Privacy Act 2009 (Qld) in connection with the Contract, including enforcement through compliance notices given to the Contractor, or  b)  privacy complaints in connection with the Contractor's discharge of its obligations under the Contract, including any privacy complaints to which the Contractor is a respondent.  The Contractor shall take any actions reasonably required by the Principal in connection with these matters, including steps to comply with any compliance notice.  The Contractor shall keep the Principal informed about actions of the information commissioner in connection with the Contract of which the Contractor becomes aware. ",Terms of Contract
"The Contractor shall immediately notify the Principal if the Contractor becomes aware that disclosure of personal information held in relation to this Contract is, or may be, required or authorised by law, for, or in connection with:  a)  an individual's application to the Principal for access to, or amendment of, a document containing the individual's personal information, whether the application is made under the Information Privacy Act 2009 (Qld) or otherwise  b)  privacy complaints made to the Principal, including any privacy complaints to which the Principal is a respondent  c)  the Contractor shall, as soon as possible following the Principal's request, but no later than two business Days after such request from the Principal:  i.  submit to the Principal a document specified by the Principal  ii.  amend or notate a document specified by the Principal  iii.  provide information to the Principal concerning the Contractor's discharge of its obligations under this Clause 12.2  iv.  take other reasonable actions required by the Principal.  The Principal may make a written request to the Contractor to comply with privacy and security measures under the Information Privacy Act 2009 (Qld) and the Right to Information Act 2009 (Qld).  In relation to this Clause, the Principal's Representative shall act as an agent of the Principal.  12.3 The Queensland Code  Where stated in Item 4 of form C6094, the Queensland Code of Practice for the Building and Construction Industry (the Queensland Code)) apply to this Contract.  https://www.treasury.qld.gov.au/resource/building-construction-code-practice-2000/  The Queensland Code is available on the following website:  The •Client Agency• in relation to this Contract is the Department of Transport and Main Roads.  12.3.1 Primary obligation  The Contractor shall comply with, and meet any obligations imposed by the Queensland Code.  The Contractor shall notify the Australian Building Construction Commission (ABCC) (or nominee) and the Client Agency of any alleged breaches of the Queensland Code and of voluntary remedial action taken within 24 hours of becoming aware of the alleged breach.  Where the Contractor is authorised to engage a Subcontractor or consultant, and it does so, the Contractor shall ensure that any secondary Contract imposts on the Subcontractor or consultant are equivalent obligations to those in this •Primary Obligation•, including that the Subcontractor or consultant shall comply with, and meet any obligations imposed by, the Queensland Code.  The Contractor shall not appoint or engage another party in relation to the project where that appointment or engagement would breach a sanction imposed on the other party in relation to the Queensland Code. ",Terms of Contract
"12.3.2 Access and information  The Contractor shall maintain adequate records of compliance with the Queensland Code by it, its Subcontractors, consultants and related entities.  The Contractor shall allow, and take reasonable steps to facilitate, Queensland Government-authorised personnel (including personnel of the ABCC) to:  a)  enter and have access to Sites and premises controlled by the Contractor, including the project Site  b)  inspect any Work, material, machinery, appliance, article or facility  c)  access information and documents  d)  inspect and copy any record relevant to the project  e)  have access to personnel  f)  interview any Person  as is necessary for the authorised personnel to monitor and investigate compliance with the Queensland Code by the Contractor, its Subcontractors, consultants and related entities.  The Contractor, and its related entities, shall agree to, and comply with, a request from Queensland Government-authorised personnel (including personnel of the ABCC) for the production of specified documents by a certain date, whether in person, by post or electronic means.  12.3.3 Sanctions  The Contractor warrants that, at the time of entering into this Contract, neither it, nor any of its related entities, are subject to a sanction in connection with the Queensland Code that would have precluded it from tendering for Work to which the Queensland Code apply.  If the Contractor does not comply with, or fails to meet any obligation imposed by, the Queensland Code, a sanction may be imposed against it in connection with the Queensland Code.  12.4 Ethical Supplier Threshold and Ethical Supplier Mandate  a)  In this clause 12.4,  i.  Ethical Supplier Mandate means the Queensland Government policy titled •Ethical Supplier Mandate• or any policy that replaces that policy  ii.  Ethical Supplier Threshold means the Ethical Supplier Threshold in paragraph 2.3 of the Queensland Procurement Policy  iii.  Government Department or Instrumentality means any governmental regulator, including Work Health Safety Queensland, the Queensland Building and Construction Commission, the Fair Work Commission and the Australian Building and Construction Commission, and  iv.  QPP Compliance Unit means the Queensland Procurement Policy (QPP) Compliance Unit, Office of the Chief Advisor • Procurement, Department of Housing and Public Works.  b)  The Contractor shall comply with the Ethical Supplier Threshold. ",Terms of Contract
"c)  The Principal may obtain information about the Contractor relevant to the Contractor•s compliance with clause 12.4(b) that may be held by the QPP Compliance Unit or any Government Department or Instrumentality and take the information into account in assessing the offer.  d)  The Contractor acknowledges that a failure to comply with the Principal•s policies that apply to the work under the proposed contract or the Contractor•s obligations under the proposed contract may result in the imposition of a demerit or sanction under the Ethical Supplier Mandate, in addition to any other remedies available to the Principal under this Contract.  e)  Failing to comply with the requirements of this clause 12.4(b) is a substantial breach of Contract for the purpose of Clause 11.2(f) of this General Conditions of Contract. ",Terms of Contract
  URBNSURF SYDNEY PROJECT  CONSTRUCTION CONTRACT FOR THE  EARLY WORKS PACKAGE  BASED ON AS 4000—1997 GENERAL CONDITIONS OF CONTRACT  URBNSURF (DEVELOPMENTS) SYDNEY PTY LTD  ERTECH PTY LTD ,No Section
"FORMAL INSTRUMENT OF AGREEMENT  Date: This deed is made on:_______________ 2021  PARTIES  URBNSURF (Developments) Sydney Pty Ltd (ACN 610 911 129) of Level 1, 204 Clarence St, Sydney, New South Wales (Principal).  Ertech Pty Ltd (ACN 094 416 887) of 118 Motivation Drive, Wangara, Western Australia (Contractor).  RECITALS  A  The Principal wishes to engage the Contractor to carry out the WUC in accordance with the requirements of the Contract.  B  The Principal and the Contractor agree that the Contractor shall carry out the WUC for the Principal on the terms of this Contract.  OPERATIVE PROVISIONS  1. PERFORMANCE  1.1  The Contractor will carry out the WUC in accordance with the Contract.  1.2  The Principal will pay the Contractor the contract sum at the times and in the manner provided for in the Contract.  1.3  Each of the parties will perform the obligations imposed on it by the Contract.  2. CONTRACT DOCUMENTS  2.1  The Contract comprises the following documents:  (a)  this Formal Instrument of Agreement;  (b)  (<>)EXHIBIT 1: General Conditions Of Contract and Annexure Part A of Exhibit 2;  (c)  Exhibit 3: Scope Of Works  (d)  Exhibit 4: Drawings And Specifications;  (e)  Exhibit 5: Contract Sum Breakdown and the remainder of the Annexures in Exhibit 2;  (f)  Exhibit 6: Construction Program;  (g)  Exhibit 7: Separable Portions; and  (h)  Exhibit 8: COVID Safe Plan. ",Agreement
"2.2  The various documents comprising the Contract are to be read together. If there is an inconsistency or discrepancy then the order of precedence listed in clause (<>)2.1 above shall apply to the extent of that inconsistency.   2.3  In this Formal Instrument of Agreement, unless the context requires otherwise capitalised and/or italicised terms used have the meaning given to them in Subclause (<>)1.1 of (<>)EXHIBIT 1: General Conditions Of Contract.   3. CONDITIONS PRECEDENT TO WUC COMMENCEMENT DATE AND WORKS COMMENCEMENT DATE  3.1  The Contractor must not commence or otherwise carry out the WUC before the WUC Commencement Date.  3.2  It is a condition precedent to the WUC Commencement Date that:  (a)  the Principal is of the opinion it has successfully raised sufficient funds to proceed with the Sydney URBNSURF Project;  (b)  all conditions precedent to commencement of the Sydney URBNSURF Project set out in the Sydney URBNSURF Project agreement for lease of the site are satisfied;  (c)  the Principal is of the opinion there is otherwise no bar to it proceeding with the Sydney URBNSURF Project.  3.3  The Principal will notify the Contractor that the conditions precedent in clause (<>)3.2 of this Formal Instrument of Agreement have been met or waived, as the case may be, and of the WUC Commencement Date by issuing a Notice to Proceed.  3.4  The conditions precedent referred to in clause (<>)3.2 of this Formal Instrument of Agreement are for the benefit of the Principal and may only be waived in writing by the Principal.  3.5  Either party may terminate the Contract by written notice to the other if the WUC Commencement Date has not occurred within 6 months after the date of Contract. The date for satisfaction or waiver of the conditions precedent under this clause (<>)3 is subject to extension only by written agreement of the parties.  3.6  The Contractor will have no claim against the Principal in respect of any matter under this Contract prior to the WUC Commencement Date, including for any part of the contract sum or other payment.  3.7  The Contractor must not commence or otherwise carry out any of the Works on site before the Works Commencement Date.  3.8  It is a condition precedent to the Works Commencement Date that the Superintendent has notified the Contractor of the Works Commencement Date by issuing a Notice to Commence Works.  3.9  The condition precedent referred to in clause (<>)3.8 of this Formal Instrument of Agreement is for the benefit of the Principal and may only be waived in writing by the Principal.  3.10  The Works Commencement Date must be at least 5 Business Days after the date of issue of the Notice to Commence Works. ",No Section
"3.11  If the Superintendent does not issue the Notice to Commence Works in time to enable the Contractor to commence with the Works by the date for commencement of the Works on the site as stated in the construction program, then the Contractor will be entitled to claim an EOT subject to and in accordance with clause (<>)34.  3.12  The Contractor will otherwise have no claim against the Principal in respect of any delay in issuing the Notice to Commence Works.  4. ENTIRE CONTRACT  4.1  The documents listed in Clause (<>)2 constitute the entire agreement between the parties in respect of the Works and the Contract supersedes all previous agreements, undertakings and communications, whether written or oral, relating to the subject matter of the Contract.  4.2  The Contract may be varied only by written agreement executed by both parties.  5. PARTIES TO GIVE EFFECT TO THE CONTRACT  5.1  The parties agree that they shall do everything reasonably necessary to give effect to the Contract. ",No Section
EXECUTION  Executed as a deed  Executed by the Principal in accordance with section 127 of the Corporations Act 2001 (Cth):    Signature of director   Signature of company secretary/director   Full name of director   Full name of company secretary/director   Executed by the Contractor in  (Cth):   accordance with section 127 of the Corporations Act 2001   Signature of director   Signature of company secretary/director   Full name of director   Full name of company secretary/director ,No Section
EXHIBIT 1: GENERAL CONDITIONS OF CONTRACT ,Exhibits
"Amended from AS 4000—1997  (Incorporating Amendment Nos. 1, 2 & 3)  Australian Standard™  General conditions of contract  This contract is an amended document.  Norton Rose Fulbright Australia can provide a copy of the marked-up AS 4000 -1997 contract on request.  © Standards Australia Limited 2021.  Reproduced or distributed by Norton Rose Fulbright Australia (ABN 32 720 868 049) (Licensee) under licence by Standards Australia. All amended, marked-up and licensed copies of this document must be obtained from the Licensee.  copyright@standards.org.au.  This material is not for resale. Any reproduction or distribution (in whole or in part) is expressly prohibited unless with the prior written consent of (or on behalf of) Standards Australia or in accordance with the Copyrights Act 1968 (Cth). Should the end user be interested in reproducing any content of this document, please contact Standards Australia via  Norton Rose Fulbright Australia sub-licenses this Licensed Material to its client URBNSURF (Developments) Sydney Pty Ltd and its related parties and professional advisors, and to its client’s prospective contracting parties and their related parties and professional advisors, strictly only to facilitate reviewing, obtaining advice, tendering, negotiating or contracting in relation to the URBNSURF Sydney Project.  Norton Rose Fulbright Australia  Level 5, 60 Martin Place  Sydney NSW 2000  Tel:  +61 9330 8000  www.nortonrosefulbright.com  Our ref: 4022462  ",Exhibits
URBNSURF Sydney: Civil Works Package  AS 4000 — 1997  General conditions of contract  Incorporating:  Amdt 1—1999  Amdt 2—2000  Amdt 3—2005 ,Exhibits
"This Australian Standard was prepared by Committee OB/3 – General Conditions of Contract. It was approved on behalf of the Council of Standards Australia on 25 July 1997 and published on 5 August 1997.  The following interests are represented on the Committee OB/3:  Association of Consulting Engineers Australia  Australasian Railways Association  Australian Chamber of Commerce and Industry  Australian Procurement and Construction Council  AUSTROADS  Construction Industry Engineering Services Group  Construction Policy Steering Committee  Electricity Supply Association of Australia  Institution of Engineers, Australia  Institution of Professional Engineers, New Zealand  Law Council of Australia  Master Builders Australia  National Construction Council / MTIA  Process Engineers and Constructors Association  Royal Australian Institute of Architects  This Standard was issued in draft form for comment as DR 96319.  Originated as part of AS CA24—1952.  Previous edition AS 2124—1992.  Revised and designated AS 4000—1997.  Reissued incorporating Amendment No. 1 (August 1999),  Amendment No. 2 (October 2000), and Amendment No. 3 (March 2005).  Keeping Standards up-to-date  Standards are living documents which reflect progress in science, technology and systems. To maintain their currency, all Standards are periodically reviewed, and new editions are published. Between editions, amendments may be issued. Standards may also be withdrawn. It is important that readers assure themselves they are using a current Standard, which should include any amendments which may have been published since the Standard was purchased.  Detailed information about Standards can be found by visiting the Standards Web Shop at www.standards.com.au and looking up the relevant Standard in the on-line catalogue.  Alternatively, the printed Catalogue provides information current at 1 January each year, and the monthly magazine, The Global Standard, has a full listing of revisions and amendments published each month.  Australian StandardsTM and other products and services developed by Standards Australia are published and distributed under contract by SAI Global, which operates the Standards Web Shop.  We also welcome suggestions for improvement in our Standards, and especially encourage readers to notify us immediately of any apparent inaccuracies or ambiguities. Contact us via email at mail@standards.org.au, or write to the Chief Executive, Standards Australia, GPO Box 5420, Sydney, NSW 2001.  ISBN 0 7337 1375 0  COPYRIGHT  © Standards Australia ",Exhibits
"All rights are reserved. No part of this work may be reproduced or copied in any form or by any means, electronic or mechanical, including photocopying, without the written permission of the publisher.  Published by Standards Australia, GPO Box 5420, Sydney, NSW 2001, Australia ",Exhibits
"Preface  This Standard was prepared by the Joint Standards Australia/Standards New Zealand Committee OB/3, General Conditions of Contract.  This Standard incorporates Amendment 1 (August 1999), Amendment 2 (October 2000), and Amendment 3 (March 2005). The changes required by the Amendments are indicated in the text by a marginal bar and amendment number against the clause, note, table, figure, or part thereof affected.  This Standard is the result of a consensus among Australian and New Zealand representatives on the Joint Committee to produce it as an Australian Standard.  Subclauses 8.6 and 29.2 (prefixed by an asterisk) are optional, and may be omitted in the Contract, where necessary, without making consequential amendments but such omission should be clearly shown on the face of the document by striking out these subclauses or indicating clearly in clause 1 of Annexure Part B or elsewhere that they are not to apply. See paragraph (i) of clause 1 on page 5 for the effect of stating deletions in Annexure Part B.  Warning  Users of this Australian Standard are warned that clause 15 (Damage to persons and property other than work under the Contract (‘WUC’)) does not limit the liability of parties for special, indirect or consequential losses.  This unlimited liability applies notwithstanding any limitations or exclusions permitted under insurance clauses 16 (Insurance of the Works) and 17 (Public liability insurance).  Parties wishing to limit their liability should seek insurance and legal advice before entering a contract under this Standard.  Legislation has come into force in some jurisdictions dealing with security of payments. Parties intending to use this Standard should seek expert advice as to their rights and obligations under such legislation.  ",Exhibits
CONTENTS  FORMAL INSTRUMENT OF AGREEMENT .......................................................................................... 2  PARTIES ................................................................................................................................... 2  RECITALS ................................................................................................................................. 2  OPERATIVE PROVISIONS ...................................................................................................... 2  1.  PERFORMANCE.......................................................................................................... 2  2.  CONTRACT DOCUMENTS ......................................................................................... 2  3.  CONDITIONS PRECEDENT TO WUC COMMENCEMENT DATE AND  WORKS COMMENCEMENT DATE............................................................................. 3  4.  ENTIRE CONTRACT ................................................................................................... 4  5.  PARTIES TO GIVE EFFECT TO THE CONTRACT.................................................... 4  EXECUTION.............................................................................................................................. 5  EXHIBIT 1: General Conditions of Contract ........................................................................................... 6  1.  INTERPRETATION AND CONSTRUCTION OF CONTRACT .................................. 16  2.  NATURE OF CONTRACT.......................................................................................... 22  3.  PROVISIONAL SUMS................................................................................................ 24  4.  SEPARABLE PORTIONS .......................................................................................... 24  5.  SECURITY ................................................................................................................. 25  6.  NOT USED ................................................................................................................. 26  7.  SERVICE OF NOTICES............................................................................................. 26  8.  CONTRACT DOCUMENTS ....................................................................................... 26  9.  ASSIGNMENT AND SUBCONTRACTING ................................................................ 29  10.  INTELLECTUAL PROPERTY RIGHTS...................................................................... 31  11.  LEGISLATIVE REQUIREMENTS .............................................................................. 31  12.  PROTECTION OF PEOPLE AND PROPERTY......................................................... 34  13.  URGENT PROTECTION............................................................................................ 35  14.  CARE OF THE WORK AND REINSTATEMENT OF DAMAGE ................................ 35  15.  DAMAGE TO PERSONS AND PROPERTY OTHER THAN WUC ........................... 36  16.  INSURANCE OF THE WORKS ................................................................................. 38  17.  PUBLIC LIABILITY INSURANCE............................................................................... 38  18.  INSURANCE OF EMPLOYEES ................................................................................. 39  18A  Professional indemnity insurance............................................................................... 39  18B  Motor vehicle insurance ............................................................................................. 40  19.  INSPECTION AND PROVISIONS OF INSURANCE POLICIES ............................... 40 ,Table of Contents
"20.  SUPERINTENDENT................................................................................................... 41  21.  SUPERINTENDENT'S REPRESENTATIVE.............................................................. 41  22.  CONTRACTOR'S REPRESENTATIVE ..................................................................... 42  23.  CONTRACTOR'S EMPLOYEES, KEY PERSONNEL AND  SUBCONTRACTORS ................................................................................................ 42  24.  SITE............................................................................................................................ 42  25.  LATENT CONDITIONS .............................................................................................. 45  26.  SETTING OUT THE WORKS .................................................................................... 45  27.  CLEANING UP ........................................................................................................... 46  28.  MATERIALS, LABOUR AND CONSTRUCTION PLANT........................................... 46  29.  QUALITY .................................................................................................................... 47  30.  EXAMINATION AND TESTING ................................................................................. 48  31.  WORKING HOURS.................................................................................................... 49  32.  PROGRAMMING........................................................................................................ 49  32A  ACCELERATION........................................................................................................ 49  33.  SUSPENSION ............................................................................................................ 50  34.  TIME AND PROGRESS............................................................................................. 51  35.  DEFECTS LIABILITY ................................................................................................. 54  36.  VARIATIONS.............................................................................................................. 54  37.  PAYMENT .................................................................................................................. 55  38.  PAYMENT OF WORKERS AND SUBCONTRACTORS ........................................... 58  39.  DEFAULT OR INSOLVENCY .................................................................................... 59  40.  TERMINATION BY FRUSTRATION .......................................................................... 63  41.  NOTIFICATION OF CLAIMS...................................................................................... 64  42.  DISPUTE RESOLUTION ........................................................................................... 64  43.  WAIVER OF CONDITIONS........................................................................................ 65  44.  CONTRACTOR’S WARRANTIES.............................................................................. 65  45.  GST ............................................................................................................................ 65  46.  ENVIRONMENT ......................................................................................................... 66  47.  COMPLIANCE BY CONTRACTOR WITH CEMP...................................................... 67  EXHIBIT 2: ANNEXURES .................................................................................................................... 68  ANNEXURE PART A: CONTRACT DETAILS ........................................................................ 69  ANNEXURE PART A: CONTRACT DETAILS (SEPARABLE PORTIONS) ........................... 75  ANNEXURE PART B: DELETIONS AMENDMENTS AND ADDITIONS................................ 77  ANNEXURE PART C: APPROVED FORM OF UNCONDITIONAL UNDERTAKING ............ 78  ANNEXURE PART D: DEED OF GUARANTEE AND INDEMNITY ....................................... 80 ",Table of Contents
ANNEXURE PART E: DA CONSENT CONDITIONS AND RESPONSIBILITY MATRIX....... 86  ANNEXURE PART F: MORAL RIGHTS CONSENT .............................................................. 87  EXHIBIT 3: SCOPE OF WORKS ......................................................................................................... 88  EXHIBIT 4: DRAWINGS AND SPECIFICATIONS (DETAILED DESIGN)........................................... 89  EXHIBIT 5: CONTRACT SUM BREAKDOWN..................................................................................... 90  EXHIBIT 6: PROGRAMME................................................................................................................... 91  EXHIBIT 7: SEPARABLE PORTIONS ................................................................................................. 92  EXHIBIT 8: COVID SAFE PLAN .......................................................................................................... 93 ,Table of Contents
